event_ticker,series_ticker,title,sub_title,status,event_date,away_team,home_team
KXNBAGAME-25OCT26INDMIN,KXNBAGAME,Indiana vs Minnesota,IND at MIN (Oct 26),,2025-10-26,IND,MIN
KXNBAGAME-25OCT26NYKMIA,KXNBAGAME,New York vs Miami,NYK at MIA (Oct 26),,2025-10-26,NYK,MIA
KXNBAGAME-25OCT26MILCLE,KXNBAGAME,Milwaukee vs Cleveland,MIL at CLE (Oct 26),,2025-10-26,MIL,CLE
KXNBAGAME-25OCT26CHAWAS,KXNBAGAME,Charlotte vs Washington,CHA at WAS (Oct 26),,2025-10-26,CHA,WAS
KXNBAGAME-25OCT26BOSDET,KXNBAGAME,Boston vs Detroit,BOS at DET (Oct 26),,2025-10-26,BOS,DET
KXNBAGAME-25OCT26BKNSAS,KXNBAGAME,Brooklyn vs San Antonio,BKN at SAS (Oct 26),,2025-10-26,BKN,SAS
KXNBAGAME-25OCT25PHXDEN,KXNBAGAME,Phoenix vs Denver,PHX at DEN (Oct 25),,2025-10-25,PHX,DEN
KXNBAGAME-25OCT25INDMEM,KXNBAGAME,Indiana vs Memphis,IND at MEM (Oct 25),,2025-10-25,IND,MEM
KXNBAGAME-25OCT25OKCATL,KXNBAGAME,Oklahoma City vs Atlanta,OKC at ATL (Oct 25),,2025-10-25,OKC,ATL
KXNBAGAME-25OCT25CHAPHI,KXNBAGAME,Charlotte vs Philadelphia,CHA at PHI (Oct 25),,2025-10-25,CHA,PHI
KXNBAGAME-25OCT25CHIORL,KXNBAGAME,Chicago vs Orlando,CHI at ORL (Oct 25),,2025-10-25,CHI,ORL
KXNBAGAME-25OCT24PHXLAC,KXNBAGAME,Phoenix vs Los Angeles C,PHX at LAC (Oct 24),,2025-10-24,PHX,LAC
KXNBAGAME-25OCT24UTASAC,KXNBAGAME,Utah vs Sacramento,UTA at SAC (Oct 24),,2025-10-24,UTA,SAC
KXNBAGAME-25OCT24MINLAL,KXNBAGAME,Minnesota vs Los Angeles L,MIN at LAL (Oct 24),,2025-10-24,MIN,LAL
KXNBAGAME-25OCT24GSWPOR,KXNBAGAME,Golden State vs Portland,GSW at POR (Oct 24),,2025-10-24,GSW,POR
KXNBAGAME-25OCT24WASDAL,KXNBAGAME,Washington vs Dallas,WAS at DAL (Oct 24),,2025-10-24,WAS,DAL
KXNBAGAME-25OCT24SASNOP,KXNBAGAME,San Antonio vs New Orleans,SAS at NOP (Oct 24),,2025-10-24,SAS,NOP
KXNBAGAME-25OCT24MIAMEM,KXNBAGAME,Miami vs Memphis,MIA at MEM (Oct 24),,2025-10-24,MIA,MEM
KXNBAGAME-25OCT24DETHOU,KXNBAGAME,Detroit vs Houston,DET at HOU (Oct 24),,2025-10-24,DET,HOU
